date,season,home_team,away_team,result,bet_on,prob_model,odd,value,won,stake_flat,pl_flat,bankroll_flat,stake_kelly,pl_kelly,bankroll_kelly
,2025,Botafogo FR,SC Internacional,H,,,,,,0.0,0.0,1155.89,0.0,0.0,1315.26
,2025,São Paulo FC,Grêmio FBPA,H,H,0.65,1.64,1.067,True,23.12,14.8,1170.69,34.2,21.89,1337.15
,2025,SC Corinthians Paulista,Santos FC,H,H,0.567,2.17,1.229,True,23.41,27.39,1198.08,65.57,76.72,1413.87
,2025,EC Bahia,EC Vitória,H,,,,,,0.0,0.0,1198.08,0.0,0.0,1413.87
,2025,RB Bragantino,SE Palmeiras,A,A,0.523,2.1,1.098,True,23.96,26.36,1224.44,31.63,34.8,1448.66
,2025,CR Flamengo,Botafogo FR,D,,,,,,0.0,0.0,1224.44,0.0,0.0,1448.66
,2025,Cruzeiro EC,CA Mineiro,D,H,0.46,2.6,1.196,False,24.49,-24.49,1199.95,44.44,-44.44,1404.22
,2025,SC Internacional,Mirassol FC,D,,,,,,0.0,0.0,1199.95,0.0,0.0,1404.22
,2025,Fluminense FC,CR Vasco da Gama,H,,,,,,0.0,0.0,1199.95,0.0,0.0,1404.22
,2025,São Paulo FC,Mirassol FC,A,,,,,,0.0,0.0,1199.95,0.0,0.0,1404.22
,2025,CA Mineiro,SC Corinthians Paulista,D,,,,,,0.0,0.0,1199.95,0.0,0.0,1404.22
,2025,Grêmio FBPA,EC Bahia,H,H,0.513,2.46,1.262,True,24.0,35.04,1234.99,62.92,91.87,1496.09
,2025,SE Palmeiras,CR Flamengo,A,H,0.513,2.24,1.149,False,24.7,-24.7,1210.29,44.9,-44.9,1451.19
,2025,EC Vitória,Santos FC,A,A,0.454,3.71,1.684,True,24.21,65.6,1275.89,72.56,196.64,1647.83
,2025,EC Bahia,São Paulo FC,H,,,,,,0.0,0.0,1275.89,0.0,0.0,1647.83
,2025,CR Vasco da Gama,RB Bragantino,A,H,0.513,2.46,1.262,False,25.52,-25.52,1250.37,73.84,-73.84,1573.98
,2025,Santos FC,Botafogo FR,A,H,0.513,2.14,1.098,False,25.01,-25.01,1225.36,33.68,-33.68,1540.3
,2025,SC Corinthians Paulista,EC Vitória,D,,,,,,0.0,0.0,1225.36,0.0,0.0,1540.3
,2025,Cruzeiro EC,SE Palmeiras,H,H,0.46,3.06,1.408,True,24.51,50.48,1275.85,76.27,157.11,1697.41
,2025,SC Internacional,Fluminense FC,A,H,0.513,2.17,1.113,False,25.52,-25.52,1250.33,40.97,-40.97,1656.44
,2025,EC Vitória,Cruzeiro EC,D,A,0.454,2.39,1.085,False,25.01,-25.01,1225.32,25.22,-25.22,1631.22
,2025,RB Bragantino,EC Bahia,A,H,0.513,2.3,1.18,False,24.51,-24.51,1200.82,56.35,-56.35,1574.87
,2025,Grêmio FBPA,SC Corinthians Paulista,D,H,0.513,2.38,1.221,False,24.02,-24.02,1176.8,62.96,-62.96,1511.91
,2025,São Paulo FC,CR Vasco da Gama,A,,,,,,0.0,0.0,1176.8,0.0,0.0,1511.91
,2025,CA Mineiro,SC Internacional,H,,,,,,0.0,0.0,1176.8,0.0,0.0,1511.91
,2025,CR Flamengo,São Paulo FC,H,,,,,,0.0,0.0,1176.8,0.0,0.0,1511.91
,2025,SC Internacional,EC Vitória,H,H,0.673,1.56,1.051,True,23.54,13.18,1189.98,34.12,19.11,1531.02
,2025,CR Vasco da Gama,Botafogo FR,A,,,,,,0.0,0.0,1189.98,0.0,0.0,1531.02
,2025,EC Bahia,CA Mineiro,H,H,0.604,2.13,1.286,True,23.8,26.89,1216.87,76.55,86.5,1617.52
,2025,SC Corinthians Paulista,RB Bragantino,A,,,,,,0.0,0.0,1216.87,0.0,0.0,1617.52
,2025,Cruzeiro EC,Grêmio FBPA,H,,,,,,0.0,0.0,1216.87,0.0,0.0,1617.52
,2025,SE Palmeiras,Mirassol FC,D,,,,,,0.0,0.0,1216.87,0.0,0.0,1617.52
,2025,Santos FC,CR Flamengo,H,,,,,,0.0,0.0,1216.87,0.0,0.0,1617.52
,2025,Botafogo FR,EC Vitória,D,,,,,,0.0,0.0,1216.87,0.0,0.0,1617.52
,2025,RB Bragantino,São Paulo FC,D,H,0.46,2.56,1.178,False,24.34,-24.34,1192.54,46.12,-46.12,1571.4
,2025,Fluminense FC,Cruzeiro EC,A,H,0.461,2.42,1.116,False,23.85,-23.85,1168.68,32.2,-32.2,1539.2
,2025,CR Vasco da Gama,Grêmio FBPA,D,H,0.551,2.18,1.201,False,23.37,-23.37,1145.31,65.57,-65.57,1473.63
,2025,Mirassol FC,Santos FC,H,H,0.513,2.77,1.421,True,22.91,40.54,1185.85,73.68,130.42,1604.04
,2025,São Paulo FC,SC Corinthians Paulista,H,H,0.509,2.27,1.155,True,23.72,30.12,1215.98,48.8,61.98,1666.03
,2025,EC Vitória,RB Bragantino,H,H,0.46,2.49,1.146,True,24.32,36.24,1252.21,40.73,60.69,1726.72
,2025,SE Palmeiras,CA Mineiro,H,,,,,,0.0,0.0,1252.21,0.0,0.0,1726.72
,2025,CR Flamengo,Fluminense FC,H,H,0.744,1.76,1.309,True,25.04,19.03,1271.25,86.34,65.62,1792.33
,2025,Fluminense FC,SE Palmeiras,A,H,0.461,2.96,1.366,False,25.42,-25.42,1245.82,83.56,-83.56,1708.77
,2025,SC Corinthians Paulista,Cruzeiro EC,D,D,0.483,2.94,1.419,True,24.92,48.34,1294.16,85.44,165.75,1874.52
,2025,Santos FC,SC Internacional,A,H,0.513,2.51,1.287,False,25.88,-25.88,1268.28,89.18,-89.18,1785.34
,2025,RB Bragantino,CR Flamengo,A,,,,,,0.0,0.0,1268.28,0.0,0.0,1785.34
,2025,Mirassol FC,EC Vitória,D,,,,,,0.0,0.0,1268.28,0.0,0.0,1785.34
