data,partida,casa,resultado,odd,prob_modelo,prob_mercado,edge,roi_esperado,⭐ valor
2026-03-15,Coritiba vs Remo,winamax_de,Casa,1.68,64.3%,51.7%,+12.5%,8.0%,🔥 FORTE
2026-03-14,Vitoria vs Atletico Mineiro,unibet_nl,Casa,2.7,47.4%,34.8%,+12.5%,27.9%,🔥 FORTE
2026-03-14,Vitoria vs Atletico Mineiro,unibet_se,Casa,2.7,47.4%,34.8%,+12.5%,27.9%,🔥 FORTE
2026-03-14,Vitoria vs Atletico Mineiro,leovegas_se,Casa,2.65,47.4%,34.9%,+12.5%,25.5%,🔥 FORTE
2026-03-14,Vitoria vs Atletico Mineiro,nordicbet,Casa,2.68,47.4%,34.9%,+12.4%,27.0%,🔥 FORTE
2026-03-14,Vitoria vs Atletico Mineiro,parionssport_fr,Casa,2.45,47.4%,35.0%,+12.4%,16.1%,🔥 FORTE
2026-03-15,Coritiba vs Remo,sport888,Casa,1.75,64.3%,51.8%,+12.4%,12.5%,🔥 FORTE
2026-03-15,Coritiba vs Remo,williamhill,Casa,1.75,64.3%,51.8%,+12.4%,12.5%,🔥 FORTE
2026-03-14,Vitoria vs Atletico Mineiro,unibet_fr,Casa,2.42,47.4%,35.0%,+12.4%,14.6%,🔥 FORTE
2026-03-14,Vitoria vs Atletico Mineiro,betsson,Casa,2.68,47.4%,34.9%,+12.4%,27.0%,🔥 FORTE
2026-03-14,Vitoria vs Atletico Mineiro,betclic_fr,Casa,2.5,47.4%,35.1%,+12.3%,18.4%,🔥 FORTE
2026-03-11,Atletico Paranaense vs Botafogo,williamhill,Fora,3.3,40.0%,27.8%,+12.3%,32.1%,🔥 FORTE
2026-03-11,Atletico Paranaense vs Botafogo,sport888,Fora,3.3,40.0%,27.8%,+12.3%,32.1%,🔥 FORTE
2026-03-14,Vitoria vs Atletico Mineiro,onexbet,Casa,2.73,47.4%,35.2%,+12.2%,29.3%,🔥 FORTE
2026-03-14,Vitoria vs Atletico Mineiro,marathonbet,Casa,2.65,47.4%,35.2%,+12.2%,25.5%,🔥 FORTE
2026-03-15,Palmeiras vs Mirassol,onexbet,Empate,4.38,34.1%,21.9%,+12.2%,49.5%,🔥 FORTE
2026-03-15,Palmeiras vs Mirassol,marathonbet,Empate,4.25,34.1%,21.9%,+12.2%,45.0%,🔥 FORTE
2026-03-11,Atletico Paranaense vs Botafogo,pmu_fr,Fora,3.0,40.0%,27.9%,+12.1%,20.1%,🔥 FORTE
2026-03-15,Coritiba vs Remo,parionssport_fr,Casa,1.65,64.3%,52.2%,+12.1%,6.1%,🔥 FORTE
2026-03-15,Coritiba vs Remo,unibet_fr,Casa,1.62,64.3%,52.3%,+12.0%,4.1%,🔥 FORTE
2026-03-15,Coritiba vs Remo,betclic_fr,Casa,1.67,64.3%,52.5%,+11.8%,7.4%,🔥 FORTE
2026-03-14,Vitoria vs Atletico Mineiro,gtbets,Casa,2.65,47.4%,35.6%,+11.8%,25.5%,🔥 FORTE
2026-03-14,Vitoria vs Atletico Mineiro,winamax_fr,Casa,2.35,47.4%,35.6%,+11.7%,11.3%,🔥 FORTE
2026-03-15,Palmeiras vs Mirassol,betsson,Empate,4.15,34.1%,22.6%,+11.6%,41.6%,🔥 FORTE
2026-03-15,Coritiba vs Remo,marathonbet,Casa,1.77,64.3%,52.7%,+11.6%,13.8%,🔥 FORTE
2026-03-15,Palmeiras vs Mirassol,nordicbet,Empate,4.15,34.1%,22.6%,+11.6%,41.6%,🔥 FORTE
2026-03-15,Coritiba vs Remo,onexbet,Casa,1.82,64.3%,52.7%,+11.6%,17.0%,🔥 FORTE
2026-03-15,Palmeiras vs Mirassol,williamhill,Empate,4.0,34.1%,22.8%,+11.4%,36.5%,🔥 FORTE
2026-03-15,Palmeiras vs Mirassol,sport888,Empate,4.0,34.1%,22.8%,+11.4%,36.5%,🔥 FORTE
2026-03-14,Vitoria vs Atletico Mineiro,winamax_de,Casa,2.4,47.4%,36.2%,+11.2%,13.7%,🔥 FORTE
2026-03-15,Bragantino-SP vs Sao Paulo,williamhill,Casa,2.5,47.4%,36.6%,+10.7%,18.4%,🔥 FORTE
2026-03-15,Bragantino-SP vs Sao Paulo,sport888,Casa,2.5,47.4%,36.6%,+10.7%,18.4%,🔥 FORTE
2026-03-15,Bragantino-SP vs Sao Paulo,nordicbet,Casa,2.52,47.4%,37.0%,+10.3%,19.4%,🔥 FORTE
2026-03-15,Bragantino-SP vs Sao Paulo,betsson,Casa,2.52,47.4%,37.0%,+10.3%,19.4%,🔥 FORTE
2026-03-15,Bragantino-SP vs Sao Paulo,onexbet,Casa,2.58,47.4%,37.2%,+10.2%,22.2%,🔥 FORTE
2026-03-15,Bragantino-SP vs Sao Paulo,marathonbet,Casa,2.51,47.4%,37.1%,+10.2%,18.9%,🔥 FORTE
2026-03-16,Chapecoense vs Grêmio,winamax_de,Empate,3.1,38.3%,28.2%,+10.1%,18.8%,🔥 FORTE
2026-03-15,Coritiba vs Remo,unibet_se,Casa,1.73,64.3%,54.3%,+10.0%,11.2%,✅ BOM
2026-03-16,Chapecoense vs Grêmio,winamax_fr,Empate,2.95,38.3%,28.3%,+10.0%,13.0%,✅ BOM
2026-03-15,Coritiba vs Remo,unibet_nl,Casa,1.73,64.3%,54.3%,+10.0%,11.2%,✅ BOM
